Start Day,Best Index,Frnum
17,1.005333333333334,17
18,0.9972222222222228,17
19,0.9921111111111116,17
20,0.9820000000000004,17
21,0.9788888888888894,17
22,0.9706666666666672,17
23,0.9705555555555558,17
24,0.9867777777777784,17
25,1.0132222222222227,17
26,1.0327777777777785,17
17,1.024666666666667,8
18,0.993666666666667,8
19,0.9743333333333336,8
20,0.972666666666667,8
21,0.9823333333333338,8
22,0.9863333333333338,8
23,0.9523333333333336,8
24,0.8680000000000003,8
25,0.7560000000000002,8
26,0.598,8
17,1.0293750000000006,10
18,1.0170000000000003,10
19,1.0037500000000004,10
20,0.9887500000000004,10
21,0.9850000000000004,10
22,0.9987500000000004,10
23,1.0062500000000003,10
24,0.9906250000000004,10
25,0.9661250000000003,10
26,0.8798750000000003,10
17,1.0638571428571433,3
18,1.0527142857142864,3
19,1.042428571428572,3
20,1.0352857142857148,3
21,1.050285714285715,3
22,1.0492857142857148,3
23,1.0482857142857147,3
24,1.0547142857142864,3
25,1.008285714285715,3
26,0.9571428571428576,3
17,1.0158000000000005,19
18,1.0032000000000003,19
19,0.9898000000000003,19
20,0.9860000000000004,19
21,0.9872000000000004,19
22,1.0312000000000006,19
23,1.0494000000000006,19
24,1.0554000000000003,19
25,1.0292000000000003,19
26,0.9436000000000004,19
17,1.0321428571428577,16
18,1.0192857142857148,16
19,1.0061428571428577,16
20,0.9967142857142862,16
21,1.0130000000000006,16
22,1.0151428571428576,16
23,0.9858571428571432,16
24,0.9720000000000004,16
25,0.9508571428571432,16
26,0.9557142857142862,16
17,1.0405000000000004,11
18,1.032333333333334,11
19,1.0278333333333338,11
20,1.0220000000000005,11
21,1.010833333333334,11
22,0.9936666666666673,11
23,1.0005000000000004,11
24,0.9978333333333336,11
25,1.0115000000000005,11
26,0.7820000000000004,11
17,1.0732857142857148,7
18,1.0532857142857148,7
19,1.0354285714285718,7
20,1.016428571428572,7
21,1.0092857142857148,7
22,1.0101428571428577,7
23,1.0278571428571432,7
24,1.040714285714286,7
25,1.0257142857142862,7
26,0.9791428571428576,7
17,1.0481666666666671,12
18,1.0360000000000005,12
19,1.034666666666667,12
20,1.0231666666666672,12
21,1.0356666666666672,12
22,1.0280000000000005,12
23,1.0115000000000005,12
24,0.9803333333333336,12
25,0.9131666666666672,12
26,0.7800000000000002,12
17,1.0392222222222227,6
18,1.0348888888888892,6
19,1.0374444444444448,6
20,1.049777777777778,6
21,1.0442222222222228,6
22,1.0476666666666672,6
23,1.0354444444444448,6
24,1.012555555555556,6
25,1.0238888888888893,6
26,0.9134444444444448,6
17,1.0516000000000003,1
18,1.0551000000000004,1
19,1.0428000000000006,1
20,1.0283000000000009,1
21,1.0328000000000006,1
22,1.0246000000000006,1
23,1.0110000000000006,1
24,0.9733000000000004,1
25,0.9382000000000004,1
26,0.8725000000000002,1
17,1.0640000000000005,4
18,1.0485000000000009,4
19,1.0370000000000006,4
20,1.0256666666666672,4
21,1.0175000000000003,4
22,1.0075000000000005,4
23,0.9890000000000004,4
24,0.9990000000000004,4
25,0.9870000000000004,4
26,0.9650000000000004,4
17,1.0631250000000003,20
18,1.0480000000000005,20
19,1.0382500000000006,20
20,1.0178750000000003,20
21,1.0022500000000003,20
22,1.0028750000000004,20
23,0.9927500000000004,20
24,0.9793750000000004,20
25,0.9542500000000004,20
26,0.9283750000000004,20
17,1.0160000000000005,21
18,1.0146250000000006,21
19,1.0045000000000004,21
20,0.9947500000000004,21
21,0.9897500000000004,21
22,0.9860000000000004,21
23,0.9906250000000004,21
24,1.0122500000000003,21
25,0.9965000000000004,21
26,0.9878750000000004,21
17,1.021555555555556,5
18,1.020666666666667,5
19,1.0220000000000005,5
20,1.0028888888888892,5
21,0.9952222222222228,5
22,1.0007777777777784,5
23,1.0272222222222227,5
24,1.0467777777777785,5
25,1.0290000000000006,5
26,1.007333333333334,5
17,1.0348888888888892,9
18,1.017555555555556,9
19,0.9998888888888894,9
20,0.9953333333333336,9
21,1.0107777777777782,9
22,1.016666666666667,9
23,1.0201111111111114,9
24,0.9921111111111116,9
25,0.9633333333333336,9
26,0.9283333333333338,9
17,1.0891333333333335,13
18,1.0936666666666672,13
19,1.0934666666666673,13
20,1.0808666666666669,13
21,1.0600000000000005,13
22,1.0458000000000005,13
23,1.0380000000000005,13
24,1.035133333333334,13
25,1.0278666666666672,13
26,0.9930666666666672,13
17,1.0518333333333338,14
18,1.0450000000000006,14
19,1.0371666666666672,14
20,1.0281666666666671,14
21,1.014666666666667,14
22,1.0128333333333337,14
23,1.0158333333333338,14
24,1.0218333333333336,14
25,1.013333333333334,14
26,0.9856666666666672,14
17,1.0497500000000002,2
18,1.0330833333333338,2
19,1.0255000000000003,2
20,1.0236666666666672,2
21,1.0112500000000006,2
22,1.016166666666667,2
23,1.0339166666666673,2
24,1.0157500000000004,2
25,0.991833333333334,2
26,0.8950000000000004,2
17,1.0123750000000005,18
18,1.0090000000000006,18
19,1.0081250000000004,18
20,0.9910000000000004,18
21,0.9996250000000004,18
22,1.0120000000000005,18
23,1.0003750000000005,18
24,0.9986250000000004,18
25,0.9538750000000004,18
26,0.9445000000000005,18
17,1.036555555555556,15
18,1.0228888888888894,15
19,1.0167777777777782,15
20,1.0068888888888894,15
21,1.0036666666666672,15
22,0.9863333333333338,15
23,0.977555555555556,15
24,0.9548888888888896,15
25,0.9702222222222228,15
26,1.0173333333333336,15
